Population,Segments,Seed,Time,Rounds
2,1,123,64.16224384307861,12300
2,1,456,13.020889282226562,2500
2,1,789,14.997866153717041,2900
2,2,123,1145.7027852535248,112300
2,2,456,112.956707239151,11100
2,2,789,147.40347051620483,14500
2,3,123,2010.1503069400787,131500
2,3,456,244.42332220077515,16100
2,3,789,955.5280768871307,62700
2,4,123,5011.477455377579,251700
2,4,456,592.0859689712524,29300
2,4,789,987.6476008892059,48700
2,5,123,6565.383353710175,283500
2,5,456,2263.588227033615,89100
2,5,789,2182.849116563797,86100
2,6,123,13384.691456317902,782300
2,6,456,6434.23659324646,229500
2,6,789,4328.164595842361,142500
3,1,123,35.76216125488281,4700
3,1,456,7.141282796859741,900
3,1,789,88.01565527915955,11700
3,2,123,356.5941879749298,23700
3,2,456,191.39186716079712,12900
3,2,789,39.986321210861206,2700
3,3,123,1310.8984906673431,58900
3,3,456,191.88221979141235,8700
3,3,789,2096.4602649211884,93900
3,4,123,2095.7580931186676,70700
3,4,456,1221.506676197052,41100
3,4,789,3073.7873809337616,103700
3,5,123,5479.831558227539,153900
3,5,456,4869.799670934677,133100
3,5,789,6059.614634275436,173900
3,6,123,14183.961624622345,582300
3,6,456,7024.0032460689545,176900
3,6,789,7751.768282413483,208500
4,1,123,101.82466650009155,10300
4,1,456,111.46030497550964,11100
4,1,789,76.01284885406494,7700
4,2,123,2980.263611316681,151300
4,2,456,203.7344880104065,10300
4,2,789,1260.5678386688232,64100
4,3,123,102.77073502540588,3500
4,3,456,396.54037261009216,13500
4,3,789,4123.646762132645,139900
4,4,123,1465.4425296783447,37500
4,4,456,2203.666967153549,56100
4,4,789,6644.568312168121,189900
4,5,123,3433.6895337104797,70100
4,5,456,2126.8149135112762,43100
4,5,789,3527.8997781276703,71900
4,6,123,4328.54353928566,75100
4,6,456,4053.658010482788,70700
4,6,789,8159.043876647949,194100
5,1,123,78.06102728843689,6300
5,1,456,521.9756269454956,41900
5,1,789,115.66279983520508,9300
5,2,123,507.5157835483551,20700
5,2,456,951.955632686615,38700
5,2,789,1038.8930988311768,42300
5,3,123,18.740586757659912,500
5,3,456,1523.326753616333,41500
5,3,789,2269.936265707016,61700
5,4,123,1116.2185757160187,22900
5,4,456,5041.152284860611,121500
5,4,789,6736.486523389816,196300
5,5,123,1345.1471583843231,22100
5,5,456,2015.5205647945404,33100
5,5,789,5052.936373949051,100700
5,6,123,2203.409029483795,30500
5,6,456,6439.971030473709,128900
5,6,789,7667.3788096904755,173100
6,1,123,7.52693247795105,500
6,1,456,25.502068281173706,1700
6,1,789,21.918004989624023,1500
6,2,123,55.74734044075012,1900
6,2,456,977.1367702484131,33100
6,2,789,320.16572880744934,10900
6,3,123,204.7959532737732,4700
6,3,456,293.3400676250458,6700
6,3,789,337.24086236953735,7700
6,4,123,307.87864899635315,5300
6,4,456,4112.091736316681,90300
6,4,789,3402.763730287552,71100
6,5,123,1592.5982568264008,23500
6,5,456,3071.680361509323,51100
6,5,789,5486.649945497513,119900
6,6,123,4085.549132823944,62700
6,6,456,5699.8872900009155,109100
6,6,789,6918.908816099167,151300
